	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo 
Arnt2	8.37	8.28	9.21	6.47	6.73	7.99	10.44	26.54	19.33	11.63	20.85	9.47	15.41	16.57	25.92	22.78	9.97	12.36	21.2	6.61	5.42	30.77	9.42	7.91	10.07	15.29	20.59	35.18	13.8	3.92	17.7	16.2	12.29
Oasl1	2.09	18.41	8.19	6.47	10.94	1	5.69	10.62	12.56	3.88	0	0	0	0	0	4.07	0	1.77	7.57	0	2.71	2.31	0	0	2.32	0	0.94	0	10.35	0	0	5.72	0.95
Rxfp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl41	367.16	429.76	534.32	386.95	418.23	474.39	388.99	581.53	527.73	432.38	539.32	484.71	551.75	586.71	387.96	522.28	607.23	721.25	583.79	729.78	773.53	645.58	929.36	866.4	674.42	760.07	799.4	693.78	987.87	1002.59	713.77	851.83	937.05
Fst	133.89	115.97	155.59	145.09	125.41	176.78	175.52	253.01	224.24	261.56	235.82	246.08	350.72	439.21	224.98	116.32	161.56	177.5	116.61	134.36	131.79	160.78	140.15	110.14	132.4	88.24	130.16	145.28	118.42	114.78	140.1	141.96	124.81
Cgnl1	559.64	340.53	245.3	265.35	318.98	280.64	282.73	301.65	334.42	338.34	227.8	287.82	377.9	260.21	566.09	554.01	479.77	421.1	511.58	270.18	405.3	623.14	439.31	449.43	431.28	463.36	415.61	482.49	423.09	308.04	424.72	345.85	330
Arhgef16	13.6	8.28	8.19	10.16	14.31	16.98	6.64	12.38	18.36	9.69	17.65	35.98	24.95	18.23	14.52	2.44	7.12	13.24	3.03	8.81	15.35	3.85	8.24	9.83	0.77	3.53	2.81	29.63	24.14	28.45	11.8	14.29	11.35
Zfp420	24.06	10.12	10.24	14.78	13.47	19.98	18.03	12.86	9.67	11.63	11.23	20.83	7.34	9.94	4.15	7.32	7.12	6.18	2.26	8.08	14.44	10.77	1.18	5.91	17.03	7.06	14.04	8.33	4.6	25.51	8.85	13.34	2.84
Psg19	0	0.92	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32	0	4.2	0	0	0	0	0	0
Clec1a	17.78	21.17	15.35	28.65	11.78	10.99	25.62	14.15	4.83	17.45	16.04	13.25	14.68	9.94	8.29	26.03	6.41	10.59	6.82	5.14	2.71	8.46	0	0	9.29	11.76	4.68	6.48	6.9	6.87	4.42	7.62	3.78
Cldn15	6.28	15.65	9.21	5.54	12.62	9.99	9.49	4.42	5.8	6.79	3.21	7.57	2.2	3.31	0	0	5.69	0	0	0	2.71	0	0	0	0	5.88	0	0.93	10.35	0	0	1.91	0
Lpin2	62.8	78.53	74.71	53.79	58.17	53.93	83.5	109.7	53.16	54.33	49.73	47.34	36.49	26.53	46.1	48.12	28.43	32.67	53.98	43.49	37.01	31.54	18.51	72.78	45.82	42.33	15.91	36.65	16.1	19.62	23.6	24.77	40.18
Kif2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k2	147.49	127.93	130	153.1	141.4	176.78	166.03	140.65	163.96	177.41	178.07	189.35	221.59	210.49	170.03	224.53	229.21	323.99	250.65	233.85	236.5	269.26	194.33	223.24	257.84	198.75	212.49	250.29	220.74	256.04	247.75	271.54	231.66
Mpv17l	19.6	5.39	9.26	12.19	17.86	7.13	15.72	23.11	7.32	14.76	22.84	21.43	20.02	30.86	29.97	26.02	38.07	12.5	19.98	33.16	38.77	33.3	36.02	52.25	51.16	41.07	29.42	27.39	45.08	47.83	33.12	44.55	54.36
Vit	36.61	30.37	39.92	43.43	23.57	19.98	50.03	32.73	25.13	40.73	38.5	20.83	90.99	41.43	85.02	90.24	78.3	61.8	73.45	63.87	38.81	93.86	87.15	74.74	66.59	103.49	74.89	69.46	71.28	53.96	44.27	67.65	62.41
Cdh6	0	0	2.05	0.92	1.68	2	0	0.88	13.53	0.97	0	1.89	2.2	0	4.15	2.44	2.14	3.53	4.54	6.61	0.9	1.54	0	1.97	0	2.35	5.62	5.56	0	0	4.42	0	14.18
Ulk3	114.79	92.1	104.97	78.66	114.85	139.93	116.59	119.4	137.37	152.7	141.92	125.07	126.65	148.39	163.42	141.17	213.92	187.18	146.74	154.76	220.13	158.13	240.75	203.54	166.2	156.65	198.91	169.65	134.6	234.3	169.43	234.52	224.28
Bbs9	37.66	35.89	27.64	29.57	46.29	25.97	28.46	31.85	28.03	17.45	41.71	37.87	38.89	53.04	43.55	30.1	17.08	35.31	24.99	33.77	24.37	31.54	55.36	28.52	34.07	31.75	27.15	24.08	41.39	31.39	42.77	50.5	17.97
Tbc1d19	37.66	34.05	32.76	38.81	36.19	25.97	33.22	30.96	27.06	32.96	40.11	68.17	32.29	41.43	30.07	41.49	14.95	37.96	44.68	12.48	24.37	23.85	12.96	14.75	39.5	18.82	44	16.67	26.44	20.6	11.8	28.58	22.69
Tas2r126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	1.18	0	0	0	0	0	0	0
Tsx	0	0	0	0	0.84	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36	0	0	0	0	3.7	0	0	0	0	5.67
Pard6a	7.32	6.44	8.19	7.39	6.73	4.99	1.9	4.42	3.87	3.88	3.21	17.04	1.47	1.66	4.15	7.32	4.98	7.95	10.6	6.61	1.81	4.62	1.18	7.87	3.1	4.7	1.87	3.7	3.45	1.96	1.47	1.91	16.07
Kcna4	0.13	0	1.09	0	0	2	0.95	0.88	0	0	0	1.84	0	0	0	0	0	1.77	0	0	0	1.55	4.71	0	0.77	0	3.74	2.78	0	0	0	0	1.89
Fscn1	51.21	111.36	69.6	104.42	93.42	49.94	45.54	51.31	62.82	54.29	52.94	41.66	46.76	28.18	25.92	38.24	46.27	36.19	58.31	14.68	27.98	36.16	14.13	35.4	20.91	16.46	18.75	33.34	10.35	28.45	16.22	23.82	32.15
Nrg2	6.28	2.76	1.02	0	4.21	3.05	4.74	4.42	8.7	0.97	0	3.79	4.4	6.63	5.18	2.44	9.97	3.53	8.33	15.42	10.84	11.54	11.74	14.75	2.32	3.53	13.1	10.19	16.1	6.87	4.42	10.48	9.46
Smg1	311.04	300.75	331.65	395.5	375.38	340.69	389.03	342.93	387.18	436.98	442.76	376.82	390.05	568.48	383.61	484.75	512.51	545.21	484.68	457.03	510.02	403.88	355.56	545.8	394.89	481.96	541.14	486.18	513.92	374.17	527.94	510.71	422.55
Tns4	176.37	87.97	198.65	159.16	123.08	212.93	195.52	238.81	428.45	400.69	284.99	304.73	548.53	865.29	729.72	359.29	669.19	830.28	776.96	951.99	1023.37	891.47	824.59	1016.14	885.07	782.56	969.17	746.42	864.24	1025.61	788.05	1086.42	1022.22
Uqcr10	120.3	128.85	161.73	172.8	163.28	159.8	124.29	115.88	166.24	97.92	194.11	240.48	54.3	112.7	27.99	90.3	46.27	64.44	42.41	45.52	56.87	40.77	57.71	69.82	51.88	44.69	49.61	68.53	60.93	45.13	57.51	40.97	52.01
Hcn3	1.05	0	0	0	2.52	0	0.95	4.42	0.97	0.97	0	0	0.73	1.66	0	0	7.83	0.88	0.76	0	0.9	0	0	0	1.55	0	0	0	0	0	0	0	0
Pop1	29.29	19.33	27.64	17.56	20.2	16.98	16.13	17.69	17.4	23.27	16.04	3.79	28.62	41.43	17.63	21.27	32.03	30.9	31.81	13.95	8.12	28.46	3.53	18.69	19.36	19.99	11.23	31.49	27.59	27.47	47.19	33.35	19.86
Lyrm2	14.64	32.21	36.85	30.49	26.09	23.97	30.36	26.54	22.23	9.69	44.92	41.66	15.41	11.6	37.32	21.15	39.15	22.07	16.66	12.48	19.86	24.58	24.73	25.57	18.58	23.52	29.02	20.37	21.84	24.53	16.22	1.91	17.97
Ildr2	48.12	62.58	46.06	38.81	44.62	29.25	76.99	79.63	33.87	20.36	19.49	20.83	72.64	41.43	54.58	122.72	66.22	96.24	72.7	19.1	33.4	125.7	87.15	115.06	70.46	74.09	131.21	95.1	126.47	76.52	89.97	54.31	54.84
Stard6	1.05	0	4.09	7.39	3.37	0	7.59	5.31	2.9	0.97	3.21	0	0	0	2.07	0	0.71	0	0	0	1.81	0	2.36	6.88	0	0	0	0	3.45	0	0	0	0
Eif3k	81.02	90.2	76.77	85.01	94.26	86.89	85.39	99.08	115.02	112.46	118.71	174.21	92.45	112.7	152.41	80.54	130.98	125.36	107.58	150.51	111.03	117.7	179.02	154.4	102.98	156.41	133.86	109.88	209.25	169.71	87.29	150.54	180.6
Fbxo39	0	0	0	0	0	0	2.85	0	0	0	0	1.89	0	6.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srp9	294.83	232.85	273.42	292	275.23	303.62	274.19	262.73	309.29	237.52	429.93	398.63	237.01	304.96	318.3	368.53	300.25	343.41	293.06	276.05	275.28	293.1	227.31	250.77	312.04	301.06	304.22	342.65	381.7	395.33	331.8	367.77	421.7
Nf1	168.41	143.58	114.58	139.53	144.76	132.84	133.78	122.96	111.15	140.57	110.69	128.76	161.43	165.74	88.12	178.16	138.09	113.88	193.08	121.87	134.5	129.76	128.38	110.14	135.5	92.91	135.73	178.73	142.56	109.87	166.64	132.47	88.88
Snai2	36.61	45.79	50.76	35.28	44.57	58.75	46.46	53.37	71.25	57.25	69.24	59.48	85.12	75.48	98.18	82.57	91.01	91.55	153.51	178.14	149.77	107.08	129.24	149.95	127.33	115.84	73.31	97.36	102.03	155.1	113.07	141.76	124.13
Ly6e	803.24	724.33	442.19	495.3	554.59	455.63	459.02	423.63	333.46	481.85	295.17	318.12	291.38	291.77	256.09	221.28	227.07	271.02	299.12	211.44	243.72	213.87	286.2	231.11	221.5	265.78	254.12	226.89	290.82	298.23	253.68	198.17	232.61
Fhit	4.18	0.92	2.05	0	1.68	0	1.9	0	1.93	3.88	4.81	0	0	6.63	0	0	5.69	3.53	3.03	3.67	3.61	1.54	2.36	5.9	5.42	7.06	2.81	5.56	0	0	5.9	1.91	3.78
B3galnt2	194.57	223.65	273.58	299.4	258.39	281.86	200.19	204.38	227.14	172.56	325.65	312.09	173.9	198.89	142.04	111.45	117.45	140.37	102.99	147.57	147.14	120.78	78.91	126.86	118.47	94.08	152.58	119.47	97.73	99.08	141.56	150.54	137.11
Gm4303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
4930467E23Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42
Thoc5	34.52	27.61	61.42	31.42	34.51	49.94	27.51	30.08	44.46	31.99	33.69	22.72	30.08	36.46	42.51	33.35	24.91	56.5	30.61	65.34	53.26	50.77	49.47	40.32	41.04	64.68	43.06	48.16	40.24	62.78	45.72	57.17	79.43
Il1f6	0	0	0	0	0	0	0	0	0	1.94	0	0	0	0	0	0	0	3.53	0	41.85	14.44	0	12.96	3.93	22.45	25.87	14.98	0.93	35.64	8.83	7.37	4.76	4.73
Megf8	131.8	151.86	145.35	131.22	133.82	131.84	108.16	116.77	136.28	169.66	139.57	189.35	117.4	129.28	181.44	136.67	93.96	106.82	153.72	128.48	175.12	116.93	196.69	174.07	154.08	155.22	122.62	135.21	147.16	169.71	107.66	106.71	141.83
St3gal5	472.9	513.53	455.05	572.45	485.26	433.8	682.23	627.96	408.76	422.93	869.06	576.77	247.56	316.48	73.74	212.27	115.25	104.26	75.39	30.59	38.75	43.66	30.01	19.91	51.67	73.95	29.03	69.9	57.3	53.87	23.23	20.47	20.24
Tfap2c	75	83.78	66.53	85.94	96.79	119.86	55.59	107.04	142.08	144.45	113.9	149.59	258.64	348.05	254.12	199.92	614.35	663.65	468.75	752.68	729.36	575.85	871.21	1018.92	712.35	955.72	888.19	537.18	950.87	1095.98	618.46	1114.73	910.08
Prps1l3	86.84	77.98	73.37	83.23	89.92	88.21	70.66	80.95	44.68	59.85	54.24	64.55	50.92	75.03	44.69	45.15	52.25	37.66	54.97	53.82	32.97	76.12	36.57	38.25	26.79	37.22	41.22	48.14	42.83	51.86	54.57	25.65	45.59
Atp2b3	16.74	10.12	23.39	21.26	17.7	16.68	22.31	7.97	13.58	16.51	33.78	30.2	9.54	9.94	9.33	3.11	3.62	0	0	0	0	2.31	0	0	0	0	0	0	0	0.98	0	0	0
Olfr1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl17	954.08	935.47	1028.71	1029.65	958.33	1042.74	890.03	990.15	1243.93	972.69	1130.96	1126.72	1185.79	1335.35	1879.71	1138.89	1560.63	1684.38	1432.07	1584.37	1847.77	1761.19	1819.67	2133.55	1735.51	1737.06	1918.97	1713.33	2228.84	2281.95	1928.92	1891.24	2270.87
Ube2z	172.6	112.28	141.27	150.62	131.31	115.86	120.49	159.18	190.41	143.48	168.44	168.53	180.51	197.23	133.75	135.05	175.83	186.27	170.16	149.77	176.92	192.33	233.2	218.08	157.96	198.75	185.34	175.96	201.2	178.54	157.8	201.03	206.13
Bloc1s6	91.85	83.42	44.61	71.51	79.32	60.07	77.07	79.14	79.96	67.55	90.16	68.96	55.3	92.38	60.21	63.32	59.4	67.15	65.64	96.27	71.94	69.16	63.82	65.19	53.9	57.72	43.56	67.35	54.75	92.11	80.83	76.94	60.94
Eri3	71.13	63.51	68.58	93.17	85.85	64.92	52.18	60.15	73.46	53.32	83.42	128.76	66.04	51.38	54.95	79.73	24.2	37.08	47.71	38.18	47.84	40	28.27	34.42	35.62	45.87	61.78	37.97	18.4	32.37	45.72	25.72	45.23
Slc22a20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp2b2	1.05	0	4.09	0.92	0.84	0	5.7	1.28	2.89	0	0	4.7	0	0	0	3.27	1.43	6.18	8.46	2.2	0	2.38	7.07	8.2	7.86	1.18	0.94	22.23	0	5.89	13.27	4.78	3.78
Kif9	9.41	1.84	0	1.85	10.1	1	4.74	4.42	3.87	4.85	0	7.57	0	3.31	6.22	5.69	7.83	4.41	3.79	3.67	6.32	2.31	1.18	2.95	1.55	9.41	0.94	7.41	0	0	8.85	11.43	6.62
Ankrd53	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	3.78
Oxsr1	395.06	356.18	492.35	471.27	499.32	497.34	406.21	438.76	528.63	407.17	829.34	764.99	355.14	346.39	295.49	307.86	279.05	291.32	247.64	265.68	306.91	257.72	239.09	315.68	207.64	289.3	290.18	250.97	283.98	302.98	219.87	250.58	302.58
Gnptg	26.15	23.01	13.31	19.41	18.52	14.98	22.8	38.04	27.06	13.57	12.83	47.34	25.68	19.89	21.77	30.1	37.73	37.08	34.83	25.7	41.52	36.93	34.16	33.44	41.81	25.87	26.21	34.27	73.58	74.56	26.55	27.63	42.44
V1rd19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71	0	0	0	0	0	0	0	0	0	0	0	2.84
Pde6d	58.58	74.55	69.6	39.73	47.13	48.94	53.13	36.27	52.19	40.9	62.56	45.45	26.42	31.49	40.43	38.24	14.24	20.3	25.75	13.22	31.59	7.69	42.4	20.65	20.91	11.76	26.21	26.86	12.65	29.43	7.37	25.72	17.02
Prob1	46.03	33.13	50.16	40.66	43.77	57.93	37	41.58	44.46	50.41	35.29	90.89	24.21	23.2	26.96	32.54	17.8	17.66	8.33	5.14	12.64	0	12.96	4.92	14.71	15.29	18.72	8.33	4.6	21.58	0	11.43	0
Prmt5	157.95	119.65	114.64	168.18	164.12	150.7	126.19	126.52	112.12	129.91	109.09	191.25	108.37	164.08	127.53	111.53	134.53	102.4	117.38	99.11	137.1	135.29	103.64	91.46	96.79	142.3	102.97	118.29	121.87	110.85	135.59	89.09	95.31
Pdcd10	53.35	38.66	65.51	52.67	37.87	36.95	45.54	52.19	29.96	31.99	40.11	37.87	62.37	67.95	49.77	59.39	86.13	78.57	43.16	69.75	64.99	66.16	44.76	61.96	102.98	64.68	62.72	62.65	78.18	48.07	69.31	73.36	68.08
Kcnc2	8.37	4.6	3.07	5.54	15.15	2	9.49	9.73	5.8	5.82	1.6	0	7.34	8.29	1.04	9.76	17.8	15.01	11.36	3.67	5.42	23.08	12.96	8.85	3.87	11.76	21.53	21.3	6.9	13.73	13.27	0	0.95
Ap4m1	36.61	35.89	47.09	35.11	31.98	33.96	29.41	32.8	36.73	53.32	28.88	32.19	35.95	53.04	26.96	27.64	54.1	47.12	37.69	44.79	46.04	57.7	61.24	44.25	46.46	39.99	44.93	43.53	34.17	73.58	45.75	42.87	41.6
Vmn1r116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfml2a	83.68	106.76	106.45	90.57	101.45	74.98	152.75	70.4	84.93	100.6	64.2	72.07	221.35	124.3	216.77	315.66	247	210.99	236.96	140.22	137.96	343.39	198.16	201.98	248.94	240.08	215.31	292.02	157.63	173.63	241.89	216.28	163.58
Pi4k2a	52.3	53.38	51.18	69.3	62.28	57.93	51.23	53.96	92.79	63.98	40.11	66.27	83.65	66.3	113.01	61.83	81.15	67.98	63.6	101.32	109.04	56.16	101.29	83.59	95.24	85.85	82.37	62.05	86.23	106.93	73.74	126.72	88.88
Sipa1	75.38	104.92	68.58	88.71	79.96	66.92	73.05	67.23	33.83	40.72	27.27	18.94	44.76	19.89	48.73	26.03	26.34	15.89	26.5	16.15	17.15	30.77	29.44	20.65	17.03	30.58	30.89	21.3	40.24	37.28	16.22	26.68	33.09
Slc7a5	254.99	232.85	147.4	120.13	130.46	124.85	247.63	225.57	105.35	87.25	113.9	123.08	128.41	109.21	184.55	147.25	261.95	317.81	321.84	319.04	374.61	297.72	382.72	522.2	254.74	378.68	432.52	283.38	356.41	455.19	286.1	360.15	429.3
Ugt2b34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK129341	3.14	11.04	9.21	2.77	6.73	1	2.85	5.31	6.77	4.85	4.81	0	7.34	11.6	1.04	12.2	3.56	7.06	4.54	8.81	7.22	18.46	12.96	16.72	10.07	4.7	1.87	6.48	22.99	10.79	17.7	8.57	3.78
Defb6	10.46	14.73	11.26	15.71	10.94	14.98	13.28	51.31	34.8	32.96	49.73	39.76	63.84	89.5	53.91	13.83	30.61	39.73	19.69	39.65	21.66	14.62	14.13	29.5	48.01	23.52	20.59	49.08	31.04	31.39	39.82	37.16	34.04
Dbr1	44.98	52.46	73.7	59.15	48.82	33.96	59.34	69.88	72.49	67.86	70.58	70.08	62.37	58.03	90.2	71.59	64.78	55.62	71.18	82.23	86.73	62.31	65.95	81.62	61.17	81.18	77.69	93.53	100.02	92.21	110.6	122.91	72.81
Zfp945	29.56	29.84	34.89	30.4	24.49	29.8	20.58	22.5	39.31	20.37	34.8	18.94	35.43	38.12	17.63	45.59	38.44	38.48	41.03	51.58	30.81	47.31	35.16	59.67	30.78	20.09	42.51	46.47	38.26	38.86	72.88	31.81	35.22
Gapdhs	0	0	0	0	1.68	0	0	0	0	0	0	0	0	0	0	0	2.85	1.77	6.06	2.2	5.42	0.77	0	1.97	0	8.23	0	0	3.45	7.85	0	0	1.89
Olfr1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408I21Rik	7.32	2.76	9.21	1.85	3.37	3	5.69	4.42	7.73	4.85	4.81	5.68	0.73	8.29	13.48	15.46	6.41	0	6.06	2.94	7.22	4.62	3.53	0.98	5.42	4.7	0	0	3.45	4.91	1.47	10.48	0
Fga	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0
Olfr577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt1	78.45	53.38	67.56	80.39	74.02	78.9	61.64	54.85	57.03	80.47	86.63	111.72	77.05	61.32	80.87	62.64	88.98	110.35	78.75	67.54	87.56	66.16	118.95	86.54	68.14	62.33	101.1	97.24	81.63	105.95	53.09	108.62	68.08
Smarcd3	87.87	85.59	118.74	146.93	123.72	128.88	85.39	77.85	109.22	102.76	213.36	210.18	77.05	64.64	60.13	56.95	19.93	27.37	25.75	10.28	3.61	8.46	5.89	12.78	12.39	11.76	12.17	7.41	29.89	15.7	1.47	2.86	3.78
Rabggta	33.8	35.23	38.36	42.59	41.99	31.39	36.87	43.83	65.79	47.68	40.75	36.91	31.76	68.62	47.78	38.54	51.98	63.54	44.2	82.54	73.4	64.74	68.98	81.19	69.37	73.04	76.28	55.2	83.86	81.23	40.54	72.56	69.17
Cyp46a1	6.28	2.76	1.02	2.77	0.84	2	0	2.65	0	0	0	7.57	4.4	0	5.18	2.44	2.14	5.3	4.54	0	2.71	0.77	2.36	7.87	6.19	7.06	5.62	2.78	6.9	4.91	5.9	2.86	1.89
Vmn1r11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atm	38.7	41.42	22.52	46.2	51.75	51.94	30.46	34.5	26.75	22.65	49.73	34.08	34.79	41.43	50.8	43.95	47.66	33.56	49.38	59.49	42.53	40.01	43.61	46.22	32.54	43.51	66.69	18.52	11.5	22.56	36.87	65.52	28.38
Rimbp2	0	0	3.07	0	0	0	0	0	0	0	0	0	0	0	3.11	0	2.85	0	0	0	1.81	0.85	7.07	0	1.58	0	0	0	3.46	2.95	1.47	0	0.96
4930571K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E130309D14Rik	3.14	8.28	9.21	0.92	3.37	7.99	14.23	15.04	1.93	1.94	1.6	0	3.67	11.6	0	0.81	0	5.3	6.06	0	4.51	0	14.13	0	2.32	0	1.87	0	0	0	0	0	2.84
Eif2ak2	150.77	147.54	108.04	118.12	149.91	117.1	155.13	163.69	106.66	93.59	104.93	70.02	101.76	101.25	106.08	116.17	120.76	104.83	96.98	95.5	103.93	116	115.4	107.03	107.55	143.14	112.47	121.91	170.23	140.1	107.61	136.55	84.43
Spcs3	359.84	385.63	366.45	340.05	335.82	393.29	374.34	355.51	326.69	309.27	303.19	310.54	330.93	324.85	348.36	358.77	348.79	367.25	305.93	380.31	281.63	288.49	276.7	284.81	332.95	319.88	331.37	300.98	323.07	267.82	312.64	321.08	277.02
Wdfy2	23.01	23.93	22.52	30.49	26.09	22.97	46.49	21.23	22.23	20.36	41.71	15.15	40.36	13.26	7.26	39.05	40.57	34.47	29.53	52.86	71.31	16.16	23.56	13.77	26.33	62.33	39.31	35.19	51.74	40.22	13.27	22.87	30.26
Tyk2	75.32	54.3	51.18	65.61	40.4	67.92	62.53	54.85	69.6	44.6	56.15	43.55	47.55	84.53	67.39	83.79	78.3	65.33	65.12	57.27	76.73	66.93	87.15	59.01	51.1	58.8	43.06	50.01	50.59	71.61	57.51	37.16	37.82
Slc22a2	0	1.84	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	2.78	0	0	0	0	0
Trmt61a	35.08	22.8	16.96	19.76	37.57	28.08	23.26	17.06	39.9	25.33	15.02	27.25	41.35	20.27	40.85	33.06	21.23	41.17	46.39	60.64	35.84	26.2	61.41	43.74	38.22	22.43	31.94	29.51	32.35	52.96	26.72	37.37	41.77
Eif4e2	314.7	298.71	335.85	365.38	363.29	348.17	357.87	300	388.16	370.6	484.24	517.13	290.76	266.41	296.45	287.99	207.42	271.84	227.91	200.75	228.98	226.87	214.28	219.15	269.76	229.17	232.21	194.15	216.46	226.91	192.23	198.53	278.93
Letmd1	217.58	257.7	46.06	62.84	95.11	60.92	88.23	71.65	58.96	76.59	77	56.81	77.78	26.52	37.32	31.73	81.15	64.44	43.92	96.91	80.34	51.54	65.95	59.01	58.07	72.91	73.01	52.79	101.17	76.55	82.58	63.84	39.71
Slc6a13	2.09	0	0	0	3.37	2	0	0	3.87	2.91	8.02	0	6.67	6.63	18.66	6.51	12.81	3.53	1.51	12.48	4.51	0	5.89	12.78	3.87	1.18	2.81	1.85	10.35	0	2.95	1.91	9.46
Hist2h2aa1	2.38	4.08	16.1	2.31	0	4.83	4.12	2.56	0	0	0	6.51	0	8.25	0	8.13	0	0	6.74	6.63	0	0	8.34	0	12.3	0	0	0	8.31	0	0	0	8.24
Ssh2	308.99	344.1	432.05	435.11	430.92	418.57	506.99	354.83	380.28	424.62	475.05	537.84	326.9	243.64	170.04	431.23	227.33	293.45	229.56	145.1	165.22	175.4	198.5	148.82	178.68	201.27	170.46	164.84	181.59	136.33	203.34	127.14	159.87
Tcp11l1	12.55	10.12	13.31	8.32	21.04	10.99	9.49	8.85	7.73	15.51	14.44	13.25	12.47	3.31	3.11	9.76	4.98	7.97	10.6	3.69	8.31	4.62	13.98	10.82	6.19	5.88	7.49	13.15	8.05	26.49	8.85	13.34	3.78
Nek4	27.2	23.01	30.71	12.01	28.62	25.97	25.62	22.12	34.8	16.48	19.25	43.55	26.42	24.86	40.43	25.22	24.2	25.6	13.58	39.54	24.37	25.39	44.76	30.49	19.36	18.82	43.06	36.12	25.29	46.11	63.41	37.16	49.17
Mad2l1	52.3	46.02	48.11	24.95	26.93	28.96	48.39	68.11	22.23	8.73	20.85	22.72	15.41	31.49	52.88	32.54	34.17	29.13	47.71	46.99	56.87	36.16	27.09	47.2	37.94	27.05	42.12	54.64	34.49	42.18	60.46	38.11	23.64
Cbfb	360.89	389.31	576.28	454.64	472.16	599.27	393.74	427.26	479.69	469.22	601.58	681.68	461.56	510.47	385.69	374.22	437.77	452.88	422.19	512.46	445.02	351.57	425.17	392.39	426.34	408.08	454.93	362.1	390.9	392.4	322.97	421.12	442.7
Tceanc	41.84	19.33	17.4	30.49	18.52	25.98	21.82	9.73	14.51	28.53	11.23	18.94	23.5	31.49	33.18	26.85	25.63	14.13	12.87	12.48	28.02	23.08	27.09	30.32	17.81	16.46	11.23	20.37	16.1	15.7	28.02	26.68	25.53
Vmn1r132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
